"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","month","day","year"
"1","Buzz Williams teaches his Virginia Tech Basketball Team how to pay respect to our Flag and our National Anthem - Yo… https://t.co/4DBnDm33W7",FALSE,1,NA,2018-10-21 16:14:59,TRUE,NA,"1054043379141632000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",2,FALSE,FALSE,NA,NA,10,21,2018
"2","■■ Here they come ■■

Is that the American Flag they carry?

Are they seeking an American Dream or an American Nigh… https://t.co/01BGY0dlCF",FALSE,10,NA,2018-10-21 14:14:08,TRUE,NA,"1054012966289448962",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",11,FALSE,FALSE,NA,NA,10,21,2018
"3","■■ How American Citizens Finance $18.5 Billion In Health Care For Unauthorized Immigrants.

My guess is that the co… https://t.co/ZZOJyseZQO",FALSE,14,NA,2018-10-21 12:38:32,TRUE,NA,"1053988909443702784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",17,FALSE,FALSE,NA,NA,10,21,2018
"4","■■ If you don’t realize by now that the onslaught from the south is being paid to invade the United States, maybe y… https://t.co/IZfeZAVNPQ",FALSE,3,NA,2018-10-20 15:44:59,TRUE,NA,"1053673443433111552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",4,FALSE,FALSE,NA,NA,10,20,2018
"5","There is very little enthusiasm among Arkansas Democrats to vote on November 6th.

Under the Asa Hutchinson Adminis… https://t.co/zULc1bq3EM",FALSE,13,NA,2018-10-20 11:05:59,TRUE,NA,"1053603227244093440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",4,FALSE,FALSE,NA,NA,10,20,2018
"6","■■The Chinese Communist Economy Stumbles as Trade War Squeeze Tightens.

Maybe Governor Asa Hutchinson can use Arka… https://t.co/NEJv7LqfFZ",FALSE,5,NA,2018-10-20 00:57:17,TRUE,NA,"1053450044144316416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",0,FALSE,FALSE,NA,NA,10,20,2018
"7","RT @GOPChairwoman: Communities have been destroyed, tens of thousands are without power, and Florida’s senior senator – Democrat Bill Nelso…",FALSE,0,NA,2018-10-20 00:46:59,FALSE,NA,"1053447451498201088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2536,TRUE,FALSE,NA,NA,10,20,2018
"8","RT @sjunnedotcom: We have reduced immigration to Italy by 85 per cent - Interior Minister Matteo Salvini https://t.co/FqfuEoVWH2",FALSE,0,NA,2018-10-20 00:45:33,FALSE,NA,"1053447093954768899",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",15,TRUE,FALSE,NA,NA,10,20,2018
"9","■■ Who wants to join the Gene McVay Migrant Caravan?

We will traverse Mexico, Central America and end up in the Li… https://t.co/RxhNZAhgMd",FALSE,8,NA,2018-10-19 21:31:07,TRUE,NA,"1053398159861473281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",7,FALSE,FALSE,NA,NA,10,19,2018
"10","Another caravan wave is
advancing toward our border.

But in reality the United States has no border and soon we wi… https://t.co/L4GRNIl1Ck",FALSE,19,NA,2018-10-19 11:03:56,TRUE,NA,"1053240323806322688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",6,FALSE,FALSE,NA,NA,10,19,2018
"11","Facebook Bilks Advertisers Out of Tons of Cash, Inflated Video Views Between 150 to 900%

What’s worse is for over… https://t.co/dxdzlCXPOi",FALSE,1,NA,2018-10-18 17:19:51,TRUE,NA,"1052972541478879240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GeneMcVay",4,FALSE,FALSE,NA,NA,10,18,2018
"12","This post was seen by 785 people.

Before Twitter shadow banned my posts, it would be seen by 5,000.

My most succe… https://t.co/Xfiys7Nlin",FALSE,3,"GeneMcVay",2018-10-18 13:51:29,TRUE,"1052855679659270144","1052920102822322176","27789999","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",4,FALSE,FALSE,NA,NA,10,18,2018
"13","@gt_mom1 I think the Democrats have a better chance of winning and fighting corruption this year.

The next time we… https://t.co/DKM2i9V4FE",FALSE,1,"gt_mom1",2018-10-18 13:47:14,TRUE,"1052878812701167616","1052919033299906560","894908196032217088","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",0,FALSE,FALSE,NA,NA,10,18,2018
"14","@sokeijarhead @rushlimbaugh They were not illegal aliens separated from criminal parents.",FALSE,2,"sokeijarhead",2018-10-18 10:33:36,FALSE,"1052855716090761217","1052870305419579392","527276621","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1,FALSE,FALSE,NA,NA,10,18,2018
"15","RT @LaylaAlisha11: This is the Kind of Unhinged, Hateful, &amp; Deranged things that we keep seeing over &amp; over from the Democrats. Dems are co…",FALSE,0,NA,2018-10-18 10:32:22,FALSE,NA,"1052869994504224768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",619,TRUE,FALSE,NA,NA,10,18,2018
"16","■■ I feel sorry for Arkansas Lt Gov Tim Griffin allowing himself to be played the fool by Gov Asa Hutchinson.

Tim… https://t.co/XiMKoVwt7z",FALSE,2,NA,2018-10-18 10:31:42,TRUE,NA,"1052869824513286144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",2,FALSE,FALSE,NA,NA,10,18,2018
"17","President wannabes like Schumer and Pelosi hate their roles of making laws &amp; allowing President Trump to enforce th… https://t.co/cFOhsRpEwK",FALSE,15,NA,2018-10-18 09:35:29,TRUE,NA,"1052855679659270144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",9,FALSE,FALSE,NA,NA,10,18,2018
"18","Record high temperatures occured in Arkansas, California and Colorado during 1936, 1913 and 1888 respectively.

Do… https://t.co/Bs4xNdKndE",FALSE,12,NA,2018-10-18 09:31:33,TRUE,NA,"1052854689795100672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",13,FALSE,FALSE,NA,NA,10,18,2018
"19","RT @gt_mom1: @GeneMcVay In the trash as soon as I got it...",FALSE,0,NA,2018-10-17 22:15:09,FALSE,NA,"1052684467603730432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeneMcVay",1,TRUE,FALSE,NA,NA,10,17,2018
